hour,date,price
1,2022-07-24,"45,96"
2,2022-07-24,"39,13"
3,2022-07-24,"35,40"
4,2022-07-24,"38,06"
5,2022-07-24,"46,00"
6,2022-07-24,"51,11"
7,2022-07-24,"59,50"
8,2022-07-24,"80,03"
9,2022-07-24,"98,42"
10,2022-07-24,"95,59"
11,2022-07-24,"95,59"
12,2022-07-24,"70,00"
13,2022-07-24,"57,08"
14,2022-07-24,"47,60"
15,2022-07-24,"60,63"
16,2022-07-24,"56,98"
17,2022-07-24,"72,04"
18,2022-07-24,"139,89"
19,2022-07-24,"140,08"
20,2022-07-24,"125,07"
21,2022-07-24,"75,02"
22,2022-07-24,"31,27"
23,2022-07-24,"27,11"
0,2022-07-25,"4,69"
1,2022-07-25,"4,56"
2,2022-07-25,"4,66"
3,2022-07-25,"4,65"
4,2022-07-25,"4,65"
5,2022-07-25,"4,99"
6,2022-07-25,"4,79"
7,2022-07-25,"9,54"
8,2022-07-25,"12,91"
9,2022-07-25,"14,22"
10,2022-07-25,"16,39"
11,2022-07-25,"14,30"
12,2022-07-25,"12,94"
13,2022-07-25,"18,17"
14,2022-07-25,"19,14"
15,2022-07-25,"19,07"
16,2022-07-25,"14,38"
17,2022-07-25,"20,65"
18,2022-07-25,"16,14"
19,2022-07-25,"14,38"
20,2022-07-25,"10,68"
21,2022-07-25,"7,65"
22,2022-07-25,"4,95"
23,2022-07-25,"4,03"
0,2022-07-26,"4,31"
1,2022-07-26,"2,65"
2,2022-07-26,"1,57"
3,2022-07-26,"1,51"
4,2022-07-26,"1,53"
5,2022-07-26,"3,05"
6,2022-07-26,"5,09"
7,2022-07-26,"8,54"
8,2022-07-26,"16,86"
9,2022-07-26,"11,90"
10,2022-07-26,"11,36"
11,2022-07-26,"9,33"
12,2022-07-26,"9,67"
13,2022-07-26,"7,92"
14,2022-07-26,"7,24"
15,2022-07-26,"7,00"
16,2022-07-26,"7,14"
17,2022-07-26,"7,28"
18,2022-07-26,"9,94"
19,2022-07-26,"9,00"
20,2022-07-26,"9,99"
21,2022-07-26,"8,35"
22,2022-07-26,"7,53"
23,2022-07-26,"2,46"
0,2022-07-27,"1,75"
1,2022-07-27,"1,44"
2,2022-07-27,"1,40"
3,2022-07-27,"1,33"
4,2022-07-27,"1,37"
5,2022-07-27,"1,45"
6,2022-07-27,"1,49"
7,2022-07-27,"3,41"
8,2022-07-27,"5,03"
9,2022-07-27,"5,51"
10,2022-07-27,"79,44"
11,2022-07-27,"107,47"
12,2022-07-27,"108,99"
13,2022-07-27,"113,79"
14,2022-07-27,"114,02"
15,2022-07-27,"162,08"
16,2022-07-27,"174,60"
17,2022-07-27,"190,23"
18,2022-07-27,"191,06"
19,2022-07-27,"190,78"
20,2022-07-27,"175,05"
21,2022-07-27,"181,62"
22,2022-07-27,"159,83"
23,2022-07-27,"4,91"
0,2022-07-28,"2,65"
1,2022-07-28,"2,16"
2,2022-07-28,"2,26"
3,2022-07-28,"2,48"
4,2022-07-28,"3,23"
5,2022-07-28,"5,23"
6,2022-07-28,"6,91"
7,2022-07-28,"50,05"
8,2022-07-28,"200,05"
9,2022-07-28,"206,57"
10,2022-07-28,"209,92"
11,2022-07-28,"209,98"
12,2022-07-28,"209,97"
13,2022-07-28,"197,19"
14,2022-07-28,"204,25"
15,2022-07-28,"200,09"
16,2022-07-28,"205,73"
17,2022-07-28,"225,04"
18,2022-07-28,"499,90"
19,2022-07-28,"225,08"
20,2022-07-28,"214,91"
21,2022-07-28,"399,98"
22,2022-07-28,"207,25"
23,2022-07-28,"179,56"
0,2022-07-29,"36,84"
1,2022-07-29,"31,24"
2,2022-07-29,"28,02"
3,2022-07-29,"25,62"
4,2022-07-29,"26,53"
5,2022-07-29,"29,81"
6,2022-07-29,"200,00"
7,2022-07-29,"495,95"
8,2022-07-29,"225,00"
9,2022-07-29,"216,11"
10,2022-07-29,"214,88"
11,2022-07-29,"214,07"
12,2022-07-29,"214,31"
13,2022-07-29,"212,35"
14,2022-07-29,"213,26"
15,2022-07-29,"212,70"
16,2022-07-29,"212,99"
17,2022-07-29,"216,05"
18,2022-07-29,"219,55"
19,2022-07-29,"215,33"
20,2022-07-29,"210,40"
21,2022-07-29,"207,67"
22,2022-07-29,"207,51"
23,2022-07-29,"147,28"
0,2022-07-30,"29,89"
1,2022-07-30,"24,08"
2,2022-07-30,"21,16"
3,2022-07-30,"20,08"
4,2022-07-30,"19,42"
5,2022-07-30,"19,43"
6,2022-07-30,"19,99"
7,2022-07-30,"24,81"
8,2022-07-30,"30,50"
9,2022-07-30,"133,76"
10,2022-07-30,"138,14"
11,2022-07-30,"148,36"
12,2022-07-30,"129,95"
13,2022-07-30,"112,11"
14,2022-07-30,"30,64"
15,2022-07-30,"45,68"
16,2022-07-30,"204,29"
17,2022-07-30,"209,95"
